001769020001001769020121341134-10437-134-10439-10409-134                                                                                                                                            1   
001769020011001769020131341134-10437-134-10439-10409-134                                                                                                                                            1   
001769020011001769020141341134-10437-134-10439-10409-134                                                                                                                                            1   
017190740741001769020711341120-134-10125-134-10439-10409-134-120                                                                                                                                    1   
001719110711001769020771341120-134-10125-134-10439-10409-134-120                                                                                                                                    1   
001719110721001769020771341120-134-10125-134-10439-10409-134-120                                                                                                                                    1   
001719110771001769020771341120-134-10125-134-10439-10409-134-120                                                                                                                                    1   
00176907000100176902100138110112-814-138-10409-138                                                                                                                                                  1   
00176907000100176902200138110112-814-138-10409-138                                                                                                                                                  1   
00176907000100176902300138110112-814-138-10409-138                                                                                                                                                  1   
11747015000100176902300138110112-814-138-10409-138                                                                                                                                                  1   
001769110001001769024001231123                                                                                                                                                                      1   
00171911000100176904900122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                          1   
00171911001100176904900122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                          1   
00171911002100176904900122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                          1   
00171911071100176904900122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                         .1   
00171911072100176904900122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                         .1   
00171911077100176904900122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                         .1   
01719074004100176904900122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                          1   
01719074006100176904900122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                          1   
01719074010100176904900122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                          1   
01719074074100176904900122110102-104-812-122-12204-122-812-10409-81320-120                                                                                                                         .1   
001700200001001769070001381138-81320-120                                                                                                                                                            1   
001700200011001769070001381138-81320-120                                                                                                                                                            1   
001700200021001769070001381138-81320-120                                                                                                                                                            1   
001700200101001769070001381138-81320-120                                                                                                                                                            1   
017001900001001769070001381138-81320-120                                                                                                                                                            1   
017001900011001769070001381138-81320-120                                                                                                                                                            1   
017001900021001769070001381138-81320-120                                                                                                                                                            1   
317002100031001769070001381138-81320-120                                                                                                                                                            1   
900170155001001769070001381138-850                                                                                                                                                                  1   
900170215001001769070001381138-81320-120                                                                                                                                                           .1   
901700165001001769070001381138-81320                                                                                                                                                                1   
901700181001001769070001381138-850                                                                                                                                                                  1   
901700185001001769070001381138-81320-120                                                                                                                                                           .1   
901700412001001769070001381138-81320-120                                                                                                                                                           .1   
901700419001001769070001381138-81320-120                                                                                                                                                           .1   
901700432001001769070001381138-81320-120                                                                                                                                                           .1   
001769070001001769070011381138                                                                                                                                                                      1   
001769070771001769070011381138                                                                                                                                                                      1   
900170215001001769070771381120-138-120                                                                                                                                                             .9   
901700185001001769070771381120-138-120                                                                                                                                                             .9   
901700412001001769070771381120-138-120                                                                                                                                                             .9   
901700419001001769070771381120-138-120                                                                                                                                                             .9   
901700432001001769070771381120-138-120                                                                                                                                                             .9   
001700200001001769080001381138-81320-120                                                                                                                                                            1   
001700200011001769080001381138-81320-120                                                                                                                                                            1   
001700200021001769080001381138-81320-120                                                                                                                                                            1   
001700200101001769080001381138-81320-120                                                                                                                                                            1   
017001900001001769080001381138-81320-120                                                                                                                                                            1   
017001900011001769080001381138-81320-120                                                                                                                                                            1   
017001900021001769080001381138-81320-120                                                                                                                                                            1   
317002100031001769080001381138-81320-120                                                                                                                                                            1   
900170155001001769080001381138-850                                                                                                                                                                  1   
900170215001001769080001381138-81320-120                                                                                                                                                           .1   
901700165001001769080001381138-81320                                                                                                                                                                1   
901700181001001769080001381138-850                                                                                                                                                                  1   
901700185001001769080001381138-81320-120                                                                                                                                                           .1   
901700412001001769080001381138-81320-120                                                                                                                                                           .1   
901700419001001769080001381138-81320-120                                                                                                                                                           .1   
901700432001001769080001381138-81320-120                                                                                                                                                           .1   
001769080001001769080011381138                                                                                                                                                                      1   
001769080771001769080011381138                                                                                                                                                                      1   
900170215001001769080771381120-138-120                                                                                                                                                             .9   
901700185001001769080771381120-138-120                                                                                                                                                             .9   
901700412001001769080771381120-138-120                                                                                                                                                             .9   
901700419001001769080771381120-138-120                                                                                                                                                             .9   
901700432001001769080771381120-138-120                                                                                                                                                             .9   
001700200001001769090001381138-81320-120                                                                                                                                                            1   
001700200011001769090001381138-81320-120                                                                                                                                                            1   
001700200021001769090001381138-81320-120                                                                                                                                                            1   
001700200101001769090001381138-81320-120                                                                                                                                                            1   
017001900001001769090001381138-81320-120                                                                                                                                                            1   
017001900011001769090001381138-81320-120                                                                                                                                                            1   
017001900021001769090001381138-81320-120                                                                                                                                                            1   
317002100031001769090001381138-81320-120                                                                                                                                                            1   
900170155001001769090001381138-850                                                                                                                                                                  1   
